Item,Description,Quantity,Product link,Price w/ Tax ($),Running Total
Capacitor,1uF,2,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,$0.03,$0.03
Capacitor,0.1uF,11,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,$0.21,$0.24
Capacitor,10uF,2,https://jlcpcb.com/partdetail/2043-CL10A106MQ8NNNC/C1691,$0.18,$0.42
Capacitor,15pF,2,https://jlcpcb.com/partdetail/1914-0402CG150J500NT/C1547,$0.01,$0.43
LED,Indicator LED 0402,3,https://jlcpcb.com/partdetail/Honglitronic-HL-LED0402R/C2290,$0.06,$0.49
USB Receptacle,USB-C 14P,1,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,$0.85,$1.34
Conn_01x20,Pin Header 1x20,2,https://jlcpcb.com/partdetail/BOOMELE-BM20B-SRSS-TB/C358684,$0.17,$1.51
Conn_01x03,Pin Header 1x3,1,https://jlcpcb.com/partdetail/BOOMELE-BM03B-SRSS-TB/C49257,$0.05,$1.56
Resistor,5.1k,1,https://jlcpcb.com/partdetail/UNIROYAL-0402WGF5101TCE/C25905,$0.01,$1.57
Resistor,5.2k,1,https://jlcpcb.com/partdetail/UNIROYAL-0402WGF5201TCE/C29120,$0.01,$1.58
Resistor,27,2,https://jlcpcb.com/partdetail/UNIROYAL-0402WGF270JTCE/C25100,$0.02,$1.60
Resistor,1k,2,https://jlcpcb.com/partdetail/UNIROYAL-0402WGF1001TCE/C11702,$0.02,$1.62
Resistor,10k,1,https://jlcpcb.com/partdetail/UNIROYAL-0402WGF1002TCE/C25804,$0.01,$1.63
SW_Push,Tactile Button,1,https://jlcpcb.com/partdetail/XKBConnectivity-TS1187ABAB/C318884,$0.42,$2.05
RP2040,Microcontroller,1,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,$4.58,$6.63
Voltage Regulator,MCP1700-330 SOT-23,1,https://jlcpcb.com/partdetail/MicrochipTech-MCP1700T_3302ETT/C39051,$1.97,$8.60
Flash,W25Q128JVS,1,https://jlcpcb.com/partdetail/WinbondElec-W25Q128JVSIQ/C97521,$2.67,$11.27
Crystal,12MHz 3225,1,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322512MSB4SI/C9002,$0.32,$11.59
PCB Assembly,Jolly Devboard PCB Assembly,1,N/A (https://cart.jlcpcb.com/),$43.94,$55.53
