Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0402,2,1uF,C52923
"C11, C12, C17, C2, C3, C4, C5, C6, C7, C8, C9",0402,11,0.1uF,C1525
"C13, C14",0402,2,10uF,C15525
"C15, C16",0402,2,15pF,C1547
"D1, D2, D3",0402,3,LED,C2290
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,C358684
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,C49257
R1,0402,1,5.1K,C25905
R2,0402,1,5.2k,C29120
"R3, R4",0402,2,27,C25100
"R5, R6",0402,2,1k,C11702
R7,0402,1,10k,C25804
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,C318884
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOT-23,1,MCP1700x-330xxTT,C39051
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
