Designator,Mid X,Mid Y,Rotation,Layer
C1,159.11,-84.06,0.0,top
C10,161.02,-89.97,0.0,top
C11,161.02,-91.94,0.0,top
C12,161.02,-93.91,0.0,top
C13,155.0,-57.0,0.0,top
C14,155.0,-56.0,0.0,top
C15,163.52,-80.5,180.0,top
C16,157.0,-82.0,0.0,top
C17,166.5,-61.0,0.0,top
C2,159.11,-86.03,0.0,top
C3,159.11,-88.0,0.0,top
C4,159.11,-89.97,0.0,top
C5,159.11,-91.94,0.0,top
C6,159.11,-93.91,0.0,top
C7,161.02,-84.0,0.0,top
C8,161.02,-86.03,0.0,top
C9,161.02,-88.0,0.0,top
D1,165.0,-87.01,0.0,top
D2,165.0,-89.0,0.0,top
D3,165.0,-90.99,0.0,top
J1,160.5,-49.955,180.0,top
J2,151.6,-72.73,0.0,top
J3,169.7,-72.73,0.0,top
J4,160.04,-96.5,90.0,top
R1,166.5,-52.0,90.0,top
R2,166.5,-54.0,270.0,top
R3,160.4,-59.6,0.0,top
R4,162.51,-66.4,0.0,top
R5,157.0,-80.0,180.0,top
R6,155.51,-67.0,180.0,top
R7,155.5,-66.0,0.0,top
SW1,164.1,-57.5,0.0,top
U1,160.5,-71.5,90.0,top
U2,157.8,-57.2375,270.0,top
U3,160.5,-63.0,270.0,top
Y1,160.4,-81.35,0.0,top
